Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
226659362,2020.09.22 10:13:31,balance,ACCOUNT_TRANSFER,,,,,,,,,,100 000.00
226659538,2020.09.22 10:23:32,sell,0.01,eurusd-e,1.17345,1.177,1.172,2020.09.22 17:40:17,1.172,0,0,0,1.45
226668755,2020.09.22 18:00:18,sell,0.01,usdjpy-e,104.982,105.068,104.725,2020.09.22 18:53:17,105.068,0,0,0,-0.83
226715732,2020.09.23 23:37:00,sell,0.01,usdjpy-e,105.389,105.5,105.13,2020.09.24 14:13:19,105.5,0,0,0,-1.06
226734906,2020.09.24 00:04:27,balance,Financing,,,,,,,,,,-0.34
226783834,2020.09.25 04:27:22,buy,0.1,usdjpy-e,105.468,105.377,105.8,2020.09.25 08:19:15,105.377,0,0,0,-8.68
226823845,2020.09.28 01:00:42,sell,0.1,eurusd-e,1.16283,1.1652,1.1586,2020.09.28 13:05:48,1.16521,0,0,0,-23.8
226832079,2020.09.28 08:40:48,buy,0.1,gbpusd-e,1.2776,1.27507,1.282,2020.09.28 11:31:21,1.28201,0,0,0,44.1
226871829,2020.09.29 08:34:22,buy,0.1,eurusd-e,1.16705,1.16239,1.17752,2020.10.02 00:28:34,1.17444,0,0,0,73.9
226899745,2020.09.30 00:03:49,balance,Financing,,,,,,,,,,-0.6
226907839,2020.09.30 00:17:15,buy,0.1,audusd-e,0.71376,0.70204,0.7378,2020.10.02 05:29:09,0.71655,0,0,0,27.9
226942622,2020.10.01 00:03:26,balance,Financing,,,,,,,,,,-7.77
226954542,2020.10.01 05:23:00,buy,0.1,gbpusd-e,1.29373,1.28758,1.30549,2020.10.01 10:44:40,1.28758,0,0,0,-61.5
226986406,2020.10.02 00:05:04,balance,Financing,,,,,,,,,,-0.79
226992693,2020.10.02 04:12:20,buy,0.1,usdjpy-e,105.546,105.49,105.679,2020.10.02 08:04:22,105.49,0,0,0,-5.33
,,,,,,,,,,0,0,0,46.15
Closed P/L:,,,,,,,,,,,,46.15,
Open Trades:,,,,,,,,,,,,,
Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,,Price,Commission,Taxes,Swap,Profit
No transactions,,,,,,,,,,,,,
,,,,,,,,,,0,0,0,0
,,,,,,,,,,Floating P/L:,,0,
Working Orders:,,,,,,,,,,,,,
Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Market Price,,,,,
No transactions,,,,,,,,,,,,,
,,,,,,,,,,,,,
Summary:,,,,,,,,,,,,,
Deposit/Withdrawal:,,99 990.50,,Credit Facility:,,,,0,,,,,
Closed Trade P/L:,,46.15,,Floating P/L:,,,,0,Margin:,,,0,
Balance:,,100 036.65,,Equity:,,,,100 036.65,Free Margin:,,,100 036.65,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
