Symbol,Exchange,Exchange2,,Description,Sector,TickSize,PipLocation,DisplayPrecision
AU200,SMART,Oanda,AU200_AUD,Australia 200,Index,1,0,1
BCO,SMART,Oanda,BCO_USD,Brent Crude Oil, Commodity,0.01,-2,3
CN50,SMART,Oanda,CN50_USD,China A50,Index,1,0,1
CORN,SMART,Oanda,CORN_USD,Corn, Commodity,0.01,-2,3
DE10YB,SMART,Oanda,DE10YB_EUR,Bund, Treasury,0.01,-2,3
DE30,SMART,Oanda,DE30_EUR,Germany 30,Index,1,0,1
EU50,SMART,Oanda,EU50_EUR,Europe 50,Index,1,0,1
FR40,SMART,Oanda,FR40_EUR,France 40,Index,1,0,1
HK33,SMART,Oanda,HK33_HKD,Hong Kong 33,Index,1,0,1
IN50,SMART,Oanda,IN50_USD,India 50,Index,1,0,1
JP225,SMART,Oanda,JP225_USD,Japan 225,Index,1,0,1
NAS100,SMART,Oanda,NAS100_USD,US Nas 100,Index,1,0,1
NATGAS,SMART,Oanda,NATGAS_USD,Natural Gas, Commodity,0.01,-2,3
NL25,SMART,Oanda,NL25_EUR,Netherlands 25,Index,0.01,-2,3
SG30,SMART,Oanda,SG30_SGD,Singapore 30,Index,0.1,-1,2
SOYBN,SMART,Oanda,SOYBN_USD,Soybeans, Commodity,0.01,-2,3
SPX500,SMART,Oanda,SPX500_USD,US SPX 500,Index,1,0,1
SUGAR,SMART,Oanda,SUGAR_USD,Sugar, Commodity,0.0001,-4,5
TWIX,SMART,Oanda,TWIX_USD,Taiwan Index,Index,1,0,1
UK100,SMART,Oanda,UK100_GBP,UK 100,Index,1,0,1
UK10YB,SMART,Oanda,UK10YB_GBP,UK 10Y Gilt,Index,0.01,-2,3
US2000,SMART,Oanda,US2000_USD,US Russ 2000,Index,0.01,-2,3
US30,SMART,Oanda,US30_USD,US Wall St 30,Index,1,0,1
USB02Y,SMART,Oanda,USB02Y_USD,US 2Y T-Note, Treasury,0.01,-2,3
USB05Y,SMART,Oanda,USB05Y_USD,US 5Y T-Note, Treasury,0.01,-2,3
USB10Y,SMART,Oanda,USB10Y_USD,US 10Y T-Note, Treasury,0.01,-2,3
USB30Y,SMART,Oanda,USB30Y_USD,US T-Bond, Treasury,0.01,-2,3
WHEAT,SMART,Oanda,WHEAT_USD,Wheat, Commodity,0.01,-2,3
WTICO,SMART,Oanda,WTICO_USD,West Texas Oil, Commodity,0.01,-2,3
XCU,SMART,Oanda,XCU_USD,Copper, Commodity,0.0001,-4,5
AUD.CAD,IDEAL,Oanda,AUD_CAD,AUD/CAD,CASH,0.0001,-4,5
AUD.CHF,IDEAL,Oanda,AUD_CHF,AUD/CHF,CASH,0.0001,-4,5
AUD.HKD,IDEAL,Oanda,AUD_HKD,AUD/HKD,CASH,0.0001,-4,5
AUD.JPY,IDEAL,Oanda,AUD_JPY,AUD/JPY,CASH,0.01,-2,3
AUD.NZD,IDEAL,Oanda,AUD_NZD,AUD/NZD,CASH,0.0001,-4,5
AUD.SGD,IDEAL,Oanda,AUD_SGD,AUD/SGD,CASH,0.0001,-4,5
AUD.USD,IDEAL,Oanda,AUD_USD,AUD/USD,CASH,0.0001,-4,5
CAD.CHF,IDEAL,Oanda,CAD_CHF,CAD/CHF,CASH,0.0001,-4,5
CAD.HKD,IDEAL,Oanda,CAD_HKD,CAD/HKD,CASH,0.0001,-4,5
CAD.JPY,IDEAL,Oanda,CAD_JPY,CAD/JPY,CASH,0.01,-2,3
CAD.SGD,IDEAL,Oanda,CAD_SGD,CAD/SGD,CASH,0.0001,-4,5
CHF.HKD,IDEAL,Oanda,CHF_HKD,CHF/HKD,CASH,0.0001,-4,5
CHF.JPY,IDEAL,Oanda,CHF_JPY,CHF/JPY,CASH,0.01,-2,3
CHF.ZAR,IDEAL,Oanda,CHF_ZAR,CHF/ZAR,CASH,0.0001,-4,5
EUR.AUD,IDEAL,Oanda,EUR_AUD,EUR/AUD,CASH,0.0001,-4,5
EUR.CAD,IDEAL,Oanda,EUR_CAD,EUR/CAD,CASH,0.0001,-4,5
EUR.CHF,IDEAL,Oanda,EUR_CHF,EUR/CHF,CASH,0.0001,-4,5
EUR.CZK,IDEAL,Oanda,EUR_CZK,EUR/CZK,CASH,0.0001,-4,5
EUR.DKK,IDEAL,Oanda,EUR_DKK,EUR/DKK,CASH,0.0001,-4,5
EUR.GBP,IDEAL,Oanda,EUR_GBP,EUR/GBP,CASH,0.0001,-4,5
EUR.HKD,IDEAL,Oanda,EUR_HKD,EUR/HKD,CASH,0.0001,-4,5
EUR.HUF,IDEAL,Oanda,EUR_HUF,EUR/HUF,CASH,0.01,-2,3
EUR.JPY,IDEAL,Oanda,EUR_JPY,EUR/JPY,CASH,0.01,-2,3
EUR.NOK,IDEAL,Oanda,EUR_NOK,EUR/NOK,CASH,0.0001,-4,5
EUR.NZD,IDEAL,Oanda,EUR_NZD,EUR/NZD,CASH,0.0001,-4,5
EUR.PLN,IDEAL,Oanda,EUR_PLN,EUR/PLN,CASH,0.0001,-4,5
EUR.SEK,IDEAL,Oanda,EUR_SEK,EUR/SEK,CASH,0.0001,-4,5
EUR.SGD,IDEAL,Oanda,EUR_SGD,EUR/SGD,CASH,0.0001,-4,5
EUR.TRY,IDEAL,Oanda,EUR_TRY,EUR/TRY,CASH,0.0001,-4,5
EUR.USD,IDEAL,Oanda,EUR_USD,EUR/USD,CASH,0.0001,-4,5
EUR.ZAR,IDEAL,Oanda,EUR_ZAR,EUR/ZAR,CASH,0.0001,-4,5
GBP.AUD,IDEAL,Oanda,GBP_AUD,GBP/AUD,CASH,0.0001,-4,5
GBP.CAD,IDEAL,Oanda,GBP_CAD,GBP/CAD,CASH,0.0001,-4,5
GBP.CHF,IDEAL,Oanda,GBP_CHF,GBP/CHF,CASH,0.0001,-4,5
GBP.HKD,IDEAL,Oanda,GBP_HKD,GBP/HKD,CASH,0.0001,-4,5
GBP.JPY,IDEAL,Oanda,GBP_JPY,GBP/JPY,CASH,0.01,-2,3
GBP.NZD,IDEAL,Oanda,GBP_NZD,GBP/NZD,CASH,0.0001,-4,5
GBP.PLN,IDEAL,Oanda,GBP_PLN,GBP/PLN,CASH,0.0001,-4,5
GBP.SGD,IDEAL,Oanda,GBP_SGD,GBP/SGD,CASH,0.0001,-4,5
GBP.USD,IDEAL,Oanda,GBP_USD,GBP/USD,CASH,0.0001,-4,5
GBP.ZAR,IDEAL,Oanda,GBP_ZAR,GBP/ZAR,CASH,0.0001,-4,5
HKD.JPY,IDEAL,Oanda,HKD_JPY,HKD/JPY,CASH,0.0001,-4,5
NZD.CAD,IDEAL,Oanda,NZD_CAD,NZD/CAD,CASH,0.0001,-4,5
NZD.CHF,IDEAL,Oanda,NZD_CHF,NZD/CHF,CASH,0.0001,-4,5
NZD.HKD,IDEAL,Oanda,NZD_HKD,NZD/HKD,CASH,0.0001,-4,5
NZD.JPY,IDEAL,Oanda,NZD_JPY,NZD/JPY,CASH,0.01,-2,3
NZD.SGD,IDEAL,Oanda,NZD_SGD,NZD/SGD,CASH,0.0001,-4,5
NZD.USD,IDEAL,Oanda,NZD_USD,NZD/USD,CASH,0.0001,-4,5
SGD.CHF,IDEAL,Oanda,SGD_CHF,SGD/CHF,CASH,0.0001,-4,5
