Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
226630418,2020.09.21 21:16:54,balance,ACCOUNT_TRANSFER,,,,,,,,,,100 000.00
226630482,2020.09.21 21:26:53,buy,0.1,eurusd-e,1.17542,1.1735,1.1825,2020.09.22 09:36:00,1.1735,0,0,0,-19.2
226647314,2020.09.22 00:04:29,balance,Financing,,,,,,,,,,-0.57
226671310,2020.09.22 20:42:06,sell,0.2,usdchf-e,0.91975,0.92313,0.91286,2020.09.23 17:13:54,0.92314,0,0,0,-73.82
226692369,2020.09.23 00:04:39,balance,Financing,,,,,,,,,,-1.09
226713764,2020.09.23 20:56:22,sell,0.1,usdjpy-e,105.344,105.618,104.78,2020.09.24 18:44:49,105.474,0,0,0,-12.39
226714883,2020.09.23 22:04:30,buy,0.2,usdchf-e,0.9242,0,0,2020.09.29 16:54:41,0.9203,0,0,0,-85.17
226734611,2020.09.24 00:04:27,balance,Financing,,,,,,,,,,-4.06
226754160,2020.09.24 18:37:47,sell,0.1,audusd-e,0.70347,0.70647,0.69755,2020.09.24 20:16:09,0.70648,0,0,0,-30.1
226777232,2020.09.25 00:04:54,balance,Financing,,,,,,,,,,-0.05
226801385,2020.09.25 23:55:26,sell,1,xauusd-e,1859.79,1876.194,0,2020.09.28 16:35:18,1876.2,0,0,0,-1 641.00
226819901,2020.09.26 00:04:52,balance,Financing,,,,,,,,,,-4.46
226839311,2020.09.28 16:40:56,sell,1,xauusd-e,1872.42,1882.02,0,2020.09.28 21:43:18,1882.05,0,0,0,-963
226843813,2020.09.28 21:42:41,buy,1,wticousd-e,40.588,0,0,2020.09.28 21:57:50,40.59,0,0,0,0.2
226843814,2020.09.28 21:43:34,buy,0.2,eurusd-e,1.16664,0,0,2020.10.05 19:58:11,1.17843,0,0,0,235.8
226843817,2020.09.28 21:44:29,buy,1,xauusd-e,1882.552,0,0,2020.09.30 16:24:16,1892.388,0,0,0,983.6
226843956,2020.09.28 21:57:50,balance,Financing,,,,,,,,,,-0.01
226843964,2020.09.28 21:58:28,buy,20,wticousd-e,40.628,0,0,2020.10.09 02:31:01,41.166,0,0,0,1 076.00
226858587,2020.09.29 00:02:49,balance,Financing,,,,,,,,,,-12.16
226882549,2020.09.29 19:51:51,buy,0.1,audusd-e,0.71193,0,0,2020.10.05 19:59:00,0.71855,0,0,0,66.2
226903128,2020.09.30 00:05:07,balance,Financing,,,,,,,,,,-30.02
226925399,2020.09.30 20:09:19,sell,0.2,usdjpy-e,105.535,0,0,2020.10.05 19:58:21,105.775,0,0,0,-45.6
226942211,2020.10.01 00:03:26,balance,Financing,,,,,,,,,,-40.8
226966506,2020.10.01 19:35:58,buy,1,xauusd-e,1906.677,0,0,2020.10.05 19:58:31,1916.186,0,0,0,950.9
226986403,2020.10.02 00:05:04,balance,Financing,,,,,,,,,,-30.8
227004030,2020.10.02 18:36:28,sell,5,usdmxn-e,21.66297,0,0,2020.10.05 19:58:47,21.37509,0,0,0,6 701.45
227023524,2020.10.03 00:04:33,balance,Financing,,,,,,,,,,8.99
